Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
M. Friedrich,Borussia M'gladbach,"RCB, LCB",29,2026-06-30,1000,Germany,right,193,8.01,4.68,73.08,3.87,60.47,0.66,0.9,4.05,4.93,0.18,0,0.06,0.45,40,0,0,0,0.18,0,0.81,55.56,1.08,0.45,0,40.23,0.36,55.8,90.16,22.14,78.86,49.41,95.26,6.39,50.7,16.26,0.02,0.18,0,0.09,4.5,56,0.27,33.33,0.18,0,0.45,6.39,64.79,0,0
M. Röhl,Freiburg,"AMF, LAMF",22,2025-06-30,1001,Germany,right,192,4.95,5.93,54.55,4.59,27.45,0.19,0.09,1.53,1.66,1.8,0,0.16,1.08,25,0,1.17,46.15,3.06,29.41,11.42,26.77,2.34,1.89,0.63,12.77,1.53,19.78,82.73,3.87,69.77,18.25,85.71,0.36,50,15.93,0.08,0.54,0.09,0.45,1.98,59.09,0.99,36.36,0.09,100,0.54,1.53,52.94,0,0
E. Mašović,Bochum,"LCB, RCB",26,2026-06-30,1002,"Serbia, Bosnia and Herzegovina",right,189,9.97,6.56,58.9,3.32,48.65,0.52,0.9,5.66,6.61,0.36,0.09,0.04,0.45,60,20,0.09,0,0.09,100,1.44,43.75,0.54,0.18,0,25.15,0.36,37.01,84.71,15.9,74.01,30.72,89.77,6.2,60.87,19.87,0,0,0.09,0.18,4.76,64.15,0.09,0,0.45,60,0,7.81,65.52,0,0
B. Henrichs,RB Leipzig,"RWB, LB, RB",27,2028-06-30,1006,"Germany, Ghana",right,183,10.02,6.8,67.11,2.33,42.31,0.11,0.36,5.37,6.55,2.42,0,0.07,0.81,11.11,0,1.79,40,1.88,76.19,6.08,47.06,0.63,0.45,0,25.5,0.89,37.66,76.72,12.44,58.27,31.22,83.67,4.74,43.4,18.06,0.15,0.72,0.27,0.45,3.94,56.82,2.33,46.15,0.72,37.5,0.54,6.53,67.12,0,0
T. Krauß,Bochum,LCMF,23,2027-06-30,1009,Germany,right,182,9.1,7.76,67.82,1.34,40,0.22,0.18,3.66,4.61,1.34,0,0.03,0.8,22.22,0,1.34,20,1.87,42.86,5.17,50,0.71,0.98,0.18,31.58,1.43,45.85,81.13,18.02,72.77,41.21,85.5,3.39,50,17.64,0.06,0.98,0.18,0.18,7.85,71.59,2.41,44.44,0.62,57.14,0.98,8.38,71.28,0,0
F. Chaïbi,Eintracht Frankfurt,"LW, RAMF, LAMF",22,2028-06-30,1015,"France, Algeria",right,183,6.74,4.17,59.57,3.37,23.68,0.11,0,4.17,4.98,2.22,0.09,0.25,1.86,23.81,4.762,2.57,34.48,1.51,41.18,3.64,31.71,2.22,1.77,0.09,25.09,0.35,31.21,73.86,8.96,61.39,24.56,83.75,4.17,40.43,18.22,0.17,1.33,0.35,0.62,4.52,52.94,3.64,48.78,1.06,41.67,1.24,6.74,71.05,0,0
J. Njinmah,Werder Bremen,"CF, RWF, LWF",24,2027-06-30,1040,"Germany, Nigeria",right,184,2.16,1.82,52.38,3.38,38.46,0,0,1.21,1.61,2.68,0.26,0.35,2.25,26.92,11.538,1.82,38.1,2.34,59.26,7.53,37.93,4.33,2.42,0.69,15.66,1.47,18.09,69.86,3.38,51.28,15.49,73.74,0.87,60,16.57,0.12,0.78,0,0.43,1.38,68.75,1.9,50,0.09,0,1.21,2.08,75,0,0
E. Bitshiabu,RB Leipzig,"LCB, CB",19,2028-06-30,1054,"France, Congo DR",left,196,10.42,6.57,58.44,3.76,54.55,0.22,0.68,6.4,8.27,0.51,0,0.05,0.43,60,0,0.51,0,0.26,100,1.02,50,0.77,0.6,0,43.38,0.09,62.59,84.45,30.31,77.75,54.99,90.06,7.17,46.43,19.13,0.01,0.26,0,0.09,8.03,72.34,0.85,40,0.26,0,0.34,14,74.39,0,0
L. Bittencourt,Werder Bremen,RCMF,31,,1066,"Germany, Brazil",right,171,7.26,5.4,65.63,2.03,37.5,1.6,0,2.62,3.83,1.6,0.17,0.19,2.2,34.62,7.692,1.1,30.77,0.42,60,1.69,50,1.86,1.1,0.34,41.37,1.52,53.86,86.21,13.93,72.73,48.12,90.35,4.64,56.36,18.19,0.12,0.76,0.42,0.68,6.42,85.53,2.36,50,0.93,27.27,1.1,6.84,67.9,0,0
L. Netz,Borussia M'gladbach,LB,21,2026-06-30,1075,Germany,left,184,8.04,5.86,64.29,2.51,46.67,0.33,0.25,4.02,5.24,1.26,0,0.04,0.17,0,0,1.84,45.45,1.09,38.46,4.35,32.69,1.67,1,0.59,28.97,0.5,37.84,82.08,11.39,65.44,33.07,87.59,2.93,42.86,15.57,0.1,1.26,0.08,0.5,2.09,76,2.01,54.17,0.08,0,0.5,6.45,53.25,0,0
T. Müller,Bayern München,"AMF, CF",35,2025-06-30,1076,Germany,right,185,3.43,3.09,45.95,4.01,37.5,0.31,0,1.84,3.42,3.43,0.08,0.19,1.59,52.63,5.263,4.1,40.82,1.59,36.84,8.36,22,5.77,1.17,0.08,32.45,0.67,40.23,78.79,7.44,68.54,34.8,84.38,1.42,47.06,15.08,0.32,2.17,0.42,1.42,2.68,68.75,4.35,51.92,0.25,100,2.17,5.02,71.67,0,0
V. Boniface,Bayer Leverkusen,CF,24,2028-06-30,1085,Nigeria,right,190,1.58,1.99,62.5,4.89,57.63,0,0,0.33,0.47,3.57,0.66,0.72,3.9,38.3,17.021,1,33.33,3.98,39.58,12.11,29.45,4.81,1.82,0.25,16.59,0.75,18.41,75.23,3.07,62.16,16.76,77.72,0.75,77.78,14.74,0.11,0.83,0.33,0.41,1.16,71.43,1.41,47.06,0.41,60,1,1.66,60,0,0
Léo Scienza,Heidenheim,"LAMF, LW",26,2027-06-30,1090,"Brazil, Luxembourg",right,173,4.13,4.46,48.15,1.32,12.5,0,0.08,1.98,2.28,6.61,0.17,0.19,2.56,45.16,6.452,2.72,24.24,7.76,61.7,15.85,53.13,2.31,4.87,1.07,15.94,4.21,22.05,70.79,6.03,71.23,17.75,79.53,1.82,54.55,16.51,0.3,1.98,0,0.33,2.64,65.63,3.06,48.65,0.17,50,1.32,4.13,76,0,0
D. Sinani,St. Pauli,"CF, AMF, RWF",28,,1109,"Serbia, Luxembourg",left,185,5.28,4.87,66.67,2.84,17.14,0,0.08,2.03,2.43,2.92,0.16,0.14,2.43,40,6.667,1.46,50,1.7,61.9,7.47,29.35,1.79,1.06,0.24,21.59,0.81,31.08,78.85,9.58,58.47,26.86,85.2,2.76,32.35,16.51,0.19,1.38,0.24,0.32,5.03,56.45,2.92,55.56,0.65,25,0.81,5.03,74.19,0,0
E. Palacios,Bayer Leverkusen,"RCMF, AMF",26,2028-06-30,1117,Argentina,right,176,6.45,3.87,68.75,0.81,10,0.41,0,3.55,5.97,1.29,0.08,0.14,0.89,81.82,9.091,0.32,50,0.73,22.22,4.67,34.48,1.21,0.64,0.24,60.59,1.13,73.48,91.12,20.55,82.35,70.66,92.25,2.5,64.52,15.76,0.16,1.85,0.64,0.97,9.75,87.6,1.93,62.5,0.4,20,1.61,9.35,82.76,0,0
A. Bernhardsson,Holstein Kiel,"RWF, LWB, CF",26,2027-06-30,1118,Sweden,left,185,5.96,5.47,55.88,3.7,34.78,0.11,0,2.82,3.68,3.7,0.4,0.13,1.53,47.37,26.316,1.77,31.82,4.35,53.7,8.86,39.09,2.5,1.69,0.24,13.93,1.05,20.69,66.93,6.92,56.98,17.23,73.36,1.77,36.36,17.28,0.08,0.89,0.08,0.16,3.06,50,1.93,41.67,0.32,25,0.89,4.19,63.46,0,0
A. Hanche-Olsen,Mainz 05,"LCB, RCB",28,2026-06-30,1127,Norway,right,185,8.07,5.27,69.7,5.27,51.52,0.21,0.96,4.23,5.46,0.24,0.08,0.04,0.32,50,25,0.16,50,0.08,0,0.8,70,0.8,0.24,0.08,23.4,0.56,35.38,84.65,15.01,73.4,30.59,91.12,4.63,43.1,21.53,0.02,0.08,0,0.08,3.99,52,0.24,0,0.32,0,0,5.51,55.07,0,0
M. Veljković,Werder Bremen,"RCB, CB, LCB",29,2025-06-30,1134,"Switzerland, Serbia",right,188,6.35,4.76,70,4.21,45.28,0.19,0.56,2.86,3.46,0.56,0,0.04,0.08,100,0,0.63,62.5,0.16,50,0.4,40,0.16,0.32,0,34.76,0.24,49.13,88.85,18.65,78.3,42.06,93.58,6.43,60.49,21.96,0.02,0.24,0,0.08,6.67,67.86,1.35,47.06,0.79,10,0.16,8.02,81.19,0,0
J. Kamiński,Wolfsburg,"LB, LWB, LW",22,2027-06-30,1138,Poland,right,179,6.41,4.67,54.24,1.82,26.09,0.1,0.55,3.8,4.85,2.61,0,0.11,1.11,21.43,0,2.77,34.29,2.93,48.65,5.85,33.78,2.77,2.37,0.32,18.66,0.24,27.21,75.58,8.62,63.3,22.22,83.99,2.45,41.94,17.62,0.23,1.58,0,0.4,2.69,58.82,2.45,54.84,0.4,20,0.71,5.22,71.21,0,0
S. Gnabry,Bayern München,"LAMF, RW",29,2026-06-30,1146,"Germany, Côte d'Ivoire",right,176,4.87,4.55,58.62,1.02,30.77,0.43,0.08,1.96,3.61,4.55,0.47,0.52,3.22,41.46,14.634,2.28,37.93,3.93,58,7.07,43.33,5.34,2.28,0.31,35.1,0.24,41.78,84.59,6.83,72.41,38.01,88.64,1.73,54.55,15.94,0.18,1.26,0.16,1.1,2.98,68.42,2.91,62.16,0.47,50,1.96,5.26,70.15,0,0
M. Rosenfelder,Freiburg,"RCB, LCB, RB",22,2025-06-30,1147,Germany,right,186,9.49,6.28,76.25,2.75,42.86,0,0.71,4.71,5.45,1.02,0.08,0.01,0.24,33.33,33.333,0.55,0,1.96,48,3.92,48,0.47,1.65,0.39,31.39,0.94,44.49,89.07,15.46,79.7,40.96,92.72,2.98,55.26,16.97,0.03,0.08,0,0.08,3.77,81.25,0.71,55.56,0.08,100,0.47,5.96,65.79,0,0
M. Honsak,Heidenheim,"CF, LB, LAMF",28,2027-06-30,1152,Austria,left,188,6.41,4.3,54.55,3.98,43.14,0.18,0.47,3.91,4.55,2.97,0.39,0.28,2.03,42.31,19.231,2.11,48.15,1.88,58.33,6.17,36.71,2.34,2.11,0.23,19.38,0.94,26.17,74.63,7.27,66.67,23.05,76.95,1.41,77.78,18.6,0.12,0.7,0,0.16,2.42,70.97,1.72,50,0.08,0,0.31,3.75,68.75,0,0
F. Krätzig,Heidenheim,"LWB, LB, LAMF",22,2027-06-30,1157,Germany,left,177,6.15,5.83,57.33,0.7,66.67,0,0.08,2.8,3.04,1.32,0.08,0.03,0.54,42.86,14.286,1.24,43.75,0.93,58.33,2.96,42.11,1.48,1.24,0.16,25.51,0.08,33.99,79.86,8.95,61.74,29.95,84.42,2.8,47.22,17.15,0.13,1.24,0.16,0.7,3.5,62.22,1.87,45.83,0.54,0,0.54,4.67,66.67,0,0
T. Skarke,Union Berlin,"CF, RWF, AMF",28,,1161,Germany,right,180,4.5,3.64,48.94,3.49,28.89,0.71,0,2.02,2.06,2.33,0,0.16,1.55,30,0,2.4,45.16,1.63,47.62,6.9,25.84,2.48,1.16,0.54,16.43,1.16,24.03,71.29,5.58,52.78,20.62,76.69,1.16,33.33,16.14,0.06,0.62,0.08,0.47,1.24,50,2.4,51.61,0.16,0,0.47,2.95,68.42,0,0
J. Juranović,Union Berlin,"RB, RWB, LWB",29,2027-06-30,1163,Croatia,right,173,6.66,5.03,56.92,0.7,22.22,0.17,0.39,3.64,4.04,2.79,0,0.02,0.39,40,0,3.25,50,1.55,55,3.17,39.02,0.54,1.16,0.54,20.43,0.39,29.41,72.37,11.99,62.58,20.97,78.6,5.18,61.19,22.09,0.16,2.01,0.15,0.7,5.65,69.86,3.56,60.87,0.7,55.56,0.85,9.13,76.27,0,0
G. Holtmann,Bochum,"LB, LWF, LAMF",30,2025-06-30,1167,"Germany, Philippines",left,185,7.71,5.63,57.53,2.01,30.77,0.39,0.15,4.16,5.24,5.71,0.08,0.14,2.08,14.81,3.704,6.86,31.46,5.17,61.19,9.33,42.15,1.85,2.31,0.69,18.66,0.46,28.07,68.13,7.33,57.89,19.67,83.92,2.16,39.29,21.33,0.22,1.39,0.08,1.08,2.47,53.13,4.7,40.98,0.15,50,0.23,5.09,71.21,0,0
A. Losilla,Bochum,"DMF, LCMF, RCMF",39,2025-06-30,1171,France,right,185,9.84,5.53,56.94,4.46,44.83,1.42,0.54,5.38,5.83,0.38,0,0,0.23,0,0,0.31,75,0.38,40,1.77,39.13,0.23,0.23,0,15.22,0.69,28.98,79.31,11.53,64,24.9,85.8,3.77,36.73,16.32,0.01,0.31,0,0.08,3.84,50,1,61.54,0.31,25,0.61,4.92,65.63,0,0
N. Weißhaupt,St. Pauli,"LWF, RWF, CF",23,,1190,Germany,right,181,3.1,2.42,71.88,2.57,41.18,0,0,1.36,1.62,4.39,0.08,0.2,1.36,33.33,5.556,3.63,33.33,5.29,50,10.59,50,2.95,3.1,1.06,19.51,3.4,24.81,70.73,5.29,61.43,19.44,78.99,1.82,54.17,17.48,0.13,1.21,0.08,0.38,2.19,62.07,3.55,44.68,0.08,100,0.76,4.39,72.41,0,0
F. Honorat,Borussia M'gladbach,"RAMF, RW",28,2028-06-30,1198,France,right,180,4.43,3.61,56.25,1.28,17.65,0,0.08,2.4,2.71,2.78,0.23,0.21,1.58,23.81,14.286,4.51,30,2.1,50,4.73,36.51,3.31,2.33,0.98,22.69,0.23,30.5,69.95,7.81,56.73,24.27,79.57,2.1,32.14,17.36,0.42,2.63,0.15,0.83,1.88,52,3.46,45.65,0.23,0,0.9,5.56,60.81,0,0
R. Hendriks,Stuttgart,"LB, LCB",23,2028-06-30,1200,Netherlands,left,189,9.83,7.13,66.32,3.83,56.86,0.58,0.53,4.65,5.98,0.6,0,0.05,0.3,25,0,1.05,28.57,0.68,33.33,1.8,41.67,0.75,0.3,0,29.1,1.05,41.1,86.31,15.83,79.62,36.68,91.62,3.38,46.67,16.39,0.11,0.45,0,0.23,4.73,77.78,1.05,42.86,0.08,0,0.3,6.6,60.23,0,0
K. Coman,Bayern München,LAMF,28,2027-06-30,1202,"France, Guadeloupe",right,181,4.49,3.44,67.39,1.72,17.39,0,0,2.17,3.88,5.92,0.37,0.18,2.25,40,16.667,3.44,43.48,6.44,52.33,11.76,38.85,4.19,2.17,0.22,36.54,0.45,46.27,87.7,5.32,76.06,41.11,92.17,1.8,66.67,17.56,0.22,1.95,0.22,0.67,2.25,76.67,3.89,59.62,0.3,50,1.5,5.39,81.94,0,0
L. Goretzka,Bayern München,"LDMF, RDMF",30,2026-06-30,1206,Germany,right,189,6.49,3.81,50.98,3.88,55.77,0.81,0.3,4.1,7.47,1.34,0.3,0.21,1.94,34.62,15.385,0.6,25,0.52,57.14,2.76,64.86,1.49,2.84,0.37,60.97,0.6,73.73,91.4,21.94,85.71,70.37,93.53,2.84,50,16.85,0.05,0.37,0.37,0.22,12.01,88.2,2.01,37.04,0.82,27.27,1.04,8.66,86.21,0,0
S. Skrzybski,Holstein Kiel,"CF, AMF",32,2026-06-30,1212,Germany,right,174,5.42,4.23,54.39,2.15,17.24,0,0.07,3.12,3.99,2.82,0.45,0.26,2.3,45.16,19.355,1.86,60,1.71,39.13,6.68,34.44,2.67,1.19,0.37,19.01,1.41,25.99,74.57,8.39,57.52,22.2,79.26,2.08,39.29,17.8,0.16,0.97,0.22,0.59,3.34,55.56,2.38,62.5,0.45,33.33,0.89,4.16,75,0,0
D. de Wit,Bochum,"AMF, LCMF, RCMF",27,2028-06-30,1214,Netherlands,right,184,7.56,5.78,61.54,7.86,39.62,1.31,0.3,2.97,3.74,0.74,0.15,0.18,1.11,46.67,13.333,0.59,37.5,0.15,0,3.34,35.56,2.22,0.37,0,15.27,0.89,25.06,76.63,7.19,56.7,22.76,79.48,1.71,52.17,13.45,0,0.15,0,0,3.19,46.51,0.82,54.55,0.07,0,0.37,3.26,61.36,0,0
M. Grüll,Werder Bremen,"CF, RWF",26,,1227,Austria,right,182,4.62,5.35,52.05,2.35,28.13,0,0.15,1.83,2.25,2.27,0.44,0.26,1.69,43.48,26.087,1.39,36.84,2.35,43.75,11,27.33,3.23,1.54,0.51,16.28,1.91,20.54,75.36,4.62,73.02,18.12,79.35,1.17,62.5,14.25,0.07,0.51,0,0.51,1.83,72,1.91,53.85,0.15,50,0.95,2.79,63.16,0,0
E. Dinkçi,Freiburg,AMF,23,2025-06-30,1282,"Germany, Türkiye",right,188,6.81,5.76,60.98,1.83,23.08,0.25,0.21,3.09,3.72,1.19,0,0.1,0.98,21.43,0,1.4,20,1.76,36,6.11,22.99,2.18,2.25,0.49,20.43,0.42,27.8,75.25,7.65,61.47,24.99,78.93,1.47,61.9,15.14,0.1,1.26,0.14,0.56,2.95,66.67,2.18,48.39,0.28,50,0.91,3.86,61.82,0,0
S. Bell,Mainz 05,CB,33,2025-06-30,1282,Germany,right,192,11.37,5.83,69.88,7.86,59.82,0.36,0.77,7.02,8.9,0.28,0,0.04,0.49,28.57,0,0.07,0,0.14,50,1.12,18.75,0.84,0.42,0,23.38,0.42,39.8,84.83,17.27,72.76,32.01,92.76,7.79,52.25,21.29,0,0,0.07,0.07,4.7,55.22,0.35,40,0.42,50,0.28,7.51,63.55,0,0
B. Dárdai,Wolfsburg,RCMF,19,,1287,"Germany, Hungary",right,188,6.57,5.73,56.1,2.17,54.84,0.17,0.28,3.22,4.01,0.56,0.07,0.1,0.7,10,10,0.56,50,0.21,66.67,2.31,45.45,1.19,0.35,0,20.91,0.98,28.74,80.78,8.88,63.78,25.66,84.47,2.59,48.65,16.99,0.04,0.63,0.14,0.14,3.71,73.58,1.19,70.59,0.21,33.33,0.7,4.41,61.9,0,0
L. Holtby,Holstein Kiel,"RCMF, LCMF",34,2025-06-30,1289,"Germany, England",left,175,7.19,5.8,50.6,1.82,53.85,0.36,0.14,3.98,5.06,0.98,0,0.03,0.35,20,0,0.7,30,0.98,64.29,3.91,53.57,0.77,0.63,0.07,27.23,1.4,41.06,82.82,12.92,69.73,35.89,86.77,4.54,60,17.27,0.13,1.4,0.21,0.28,3.98,68.42,1.54,50,0.56,25,0.84,6.35,61.54,0,0
M. Svanberg,Wolfsburg,"RCMF, LCMF, AMF",26,2027-06-30,1305,Sweden,right,185,7.38,4.55,59.09,2.55,45.95,0.17,0.28,4.55,5.76,1.86,0.21,0.23,1.31,42.11,15.789,1.03,33.33,1.72,56,4.97,41.67,1.52,1.31,0.07,15.72,1.52,23.86,74.28,10.62,66.23,21.38,78.06,1.45,47.62,16.61,0.13,0.69,0.07,0.21,3.93,61.4,1.79,34.62,0.28,25,0.41,4,67.24,0,0
E. Dier,Bayern München,"RCB, LCB",31,2025-06-30,1312,"England, Portugal",right,191,6.86,4.73,63.77,5.56,62.96,0.35,0.48,3.64,6.12,0.27,0.07,0.06,0.34,60,20,0.14,50,0.07,0,0.75,18.18,0.55,1.65,0,60.57,0.14,77.04,93.86,24.9,85.12,72.44,96.02,4.46,60,17.46,0.01,0.14,0,0.07,10.29,90.67,0.62,44.44,0.55,37.5,0.21,10.29,77.33,0,0
A. Rouault,Stuttgart,"RCB, CB",23,2027-06-30,1315,France,right,186,9.51,6.16,68.89,4.31,57.14,0.39,0.68,5,7.2,0.21,0.07,0.06,0.21,33.33,33.333,0.21,0,0.14,100,1.1,62.5,0.48,0.27,0,41.34,0.48,57.63,90.86,23.06,82.2,50.92,95.16,6.5,60,19.7,0,0.14,0,0,5.61,81.71,0.41,16.67,0.27,25,0.14,8.97,74.05,0,0
A. Pavlović,Bayern München,LDMF,20,2029-06-30,1316,"Germany, Serbia",right,188,6.02,5.61,62.2,1.44,47.62,0.6,0.21,2.19,3.81,0.82,0.07,0.03,0.48,42.86,14.286,0.55,50,0.48,57.14,2.26,42.42,0.55,1.03,0,79.74,0.68,91.64,94.48,18.74,86.86,87.13,96.08,3.97,65.52,16.6,0.06,0.34,0.21,0.14,14.7,90.23,1.23,44.44,0.55,50,0.34,9.57,82.14,0,0
M. Busch,Heidenheim,"RCB, RB, LB",30,2027-06-30,1318,Germany,right,182,9.22,5.8,61.18,1.84,51.85,0,0.55,5.67,6.62,1.57,0,0.02,0.61,33.33,0,3.07,35.56,0.48,42.86,1.5,31.82,0.48,1.23,0.48,31.75,0.34,45.07,76.82,17.34,64.96,34.83,85.29,7.37,53.7,22.06,0.09,0.61,0.2,0.48,7.37,56.48,4.1,40,0.82,58.33,0.82,9.97,71.92,0,0
N. Dorsch,Heidenheim,"RCMF, LCMF",27,2028-06-30,1319,Germany,right,175,6.35,4.3,60.32,1.3,57.89,0.32,0.07,3.48,4.03,1.57,0.14,0.05,0.48,28.57,28.571,0.75,63.64,0.96,85.71,4.23,51.61,0.48,0.68,0.07,25.66,1.36,37.26,87,9.55,72.86,32.55,90.78,3.96,60.34,20.45,0.09,0.82,0.2,0.2,4.84,77.46,1.77,73.08,0.27,50,0.89,6.21,74.73,0,0
K. Vogt,Union Berlin,CB,33,2025-06-30,1332,Germany,right,194,7.64,4.53,64.18,1.69,48,0.07,0.47,4.66,5.11,0.2,0.07,0.05,0.07,100,100,0.27,25,0.07,100,1.22,50,0,0.47,0,31.49,0.34,48.65,89.31,21.76,80.12,41.42,94.45,6.96,61.17,22.3,0,0.07,0,0,8.18,70.25,1.15,52.94,0.88,46.15,0.47,8.51,81.75,0,0
S. Nsoki,Hoffenheim,"LCB, LB",26,2027-06-30,1334,"France, Congo DR",left,184,10.59,5.94,67.05,3.04,48.89,0.33,0.54,6.34,7.66,0.61,0,0.01,0.13,50,0,0.13,100,0.74,54.55,2.7,50,0.27,0.67,0.2,34.48,0.34,51.14,85.75,21.32,75.63,45.47,89.32,5.53,56.1,18.34,0.02,0.4,0,0.07,6.14,70.33,0.81,58.33,0.34,40,0.27,9.18,65.44,0,0
N. Tella,Bayer Leverkusen,"AMF, CF, RWB",25,2028-06-30,1345,"England, Nigeria",right,173,3.81,3.95,52.54,2.94,31.82,0.1,0.07,1.67,2.44,2.21,0.13,0.21,1.61,33.33,8.333,1.74,11.54,3.68,38.18,9.9,35.14,2.88,1.2,0.2,16.59,2.14,20.68,78.64,2.94,63.64,18.4,85.45,0.54,62.5,16.66,0.07,0.74,0.13,0.27,1.2,61.11,1.54,47.83,0.27,25,0.74,1.81,66.67,0,0
A. Haidara,RB Leipzig,"LCMF, RCMF",27,2026-06-30,1349,Mali,right,175,10.87,5.87,52.27,4.4,43.94,1.42,0.8,6.81,9.68,0.67,0,0.08,1,0,0,1,33.33,0.6,33.33,2.27,35.29,0.6,0.27,0,41.3,0.4,57.24,82.28,18.41,62.68,51.04,86.54,5.27,49.37,18.16,0.05,0.47,0.2,0.27,9.14,72.99,2.4,38.89,0.47,14.29,0.73,9.87,66.89,0,0
F. Nmecha,Borussia Dortmund,"DMF, LDMF, RCMF",24,2028-06-30,1353,"Germany, England",right,190,9.05,6.12,71.74,3.59,42.59,0.21,0.33,4.52,7.29,1.26,0.2,0.07,0.67,40,30,0.33,20,1.13,76.47,5.25,56.96,0.33,0.73,0.07,37.32,1.46,49.82,89.59,10.18,75.82,45.76,91.28,3.73,75,18.87,0.03,0.47,0.2,0.2,8.18,79.67,1.66,52,0.53,12.5,0.73,5.79,79.31,0,0
Jeong Woo-Yeong,Union Berlin,"AMF, RWF, LW",25,2026-06-30,1354,Korea Republic,right,179,4.25,3.39,50.98,2.99,28.89,0.22,0.07,2.33,2.59,2.26,0.2,0.21,1.6,25,12.5,2.19,33.33,2.06,54.84,5.58,41.67,2.13,2.06,0.13,22.8,1,32.1,78.88,9.24,71.22,28.71,84.03,1.26,36.84,19.02,0.09,0.8,0.13,0.53,3.32,74,2.79,50,0.2,0,0.93,5.05,73.68,0,0
P. Sander,Borussia M'gladbach,"RDMF, LDMF, RCMF",27,2028-06-30,1355,Germany,right,185,8.9,6.44,59.79,3.85,53.45,0.16,0.4,4.92,5.87,1.26,0.07,0.09,1.06,37.5,6.25,0.86,23.08,0.6,77.78,3.12,40.43,1.26,0.6,0.13,29.82,0.53,43.44,82.42,14.28,64.19,38.26,89.41,4.32,32.31,18.45,0.07,0.4,0.27,0.4,5.91,64.04,1.06,43.75,0.53,50,0.33,6.44,59.79,0,0
A. Pieper,Werder Bremen,"RCB, LCB",27,2026-06-30,1357,Germany,right,192,8.56,4.78,72.22,5.11,58.44,0.38,1.06,4.78,5.45,0.33,0,0.02,0.27,25,0,0.27,50,0.13,50,0.6,44.44,0.4,0.46,0.13,29.18,0.73,44.57,84.67,19.23,70,38.33,91.35,6.1,43.48,20.56,0,0.13,0.07,0.07,5.11,66.23,0.8,41.67,0.8,25,0.27,8.09,59.84,0,0
K. Adeyemi,Borussia Dortmund,"RAMF, CF",23,2027-06-30,1358,"Germany, Nigeria",left,180,4.37,4.37,56.06,1.72,38.46,0.31,0.07,1.72,2.67,4.31,0.27,0.27,2.45,40.54,10.811,2.19,21.21,6.63,42,14.25,35.35,4.18,3.91,0.6,19.35,1.13,23.66,77.03,4.44,68.66,20.81,82.8,0.73,72.73,16.56,0.32,1.19,0.13,0.8,0.8,91.67,2.45,56.76,0.13,50,1.66,2.58,76.92,0,0
M. Geschwill,Holstein Kiel,LCB,23,2026-06-30,1359,Germany,left,185,8.08,4.7,69.01,2.58,46.15,0.34,0.46,4.57,5.81,0.46,0.07,0.03,0.46,28.57,14.286,0.6,22.22,0.2,66.67,1.46,63.64,0.53,0.26,0,26.16,0.6,40.07,80.17,19.34,69.52,34.97,84.47,4.57,53.62,19.89,0.05,0.46,0.13,0.2,5.76,72.41,1.06,50,0.46,57.14,0.46,10.2,62.34,0,0
J. Adamu,Freiburg,CF,23,2025-06-30,1380,"Nigeria, Austria",right,183,4.83,3.98,50.82,9.98,29.41,0.5,0.07,2.41,3.07,1.37,0.13,0.34,1.7,38.46,7.692,0.46,42.86,1.3,40,8.93,28.47,3.33,0.39,0,10.76,1.37,15.13,70.69,2.41,56.76,14.61,71.88,0.07,0,11.17,0.08,0.59,0.07,0.2,0.85,38.46,0.85,46.15,0.13,0,0.65,1.04,50,0,0
D. Zec,Holstein Kiel,CB,25,2026-06-30,1383,Slovenia,right,190,10.35,5.4,69.88,5.34,40.24,0.4,0.72,6.25,7.68,0.52,0.13,0.05,0.52,62.5,25,0,0,0.33,60,1.37,47.62,0.85,0.26,0.07,27.07,0.39,43.02,89.11,16.27,80.4,39.96,90.72,3.06,68.09,18.74,0.01,0.07,0,0.07,2.8,74.42,0.2,33.33,0.33,20,0.2,5.66,60.92,0,0
