Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
C. Gakpo,Liverpool,"CF, LWF, LCMF",25,2028-06-30,1879,"Netherlands, Togo",right,189,4.26,4.84,49.5,3.59,44,0,0.19,1.87,3.1,4.07,0.38,0.46,2.97,37.1,12.903,1.39,41.38,3.74,61.54,10.59,49.32,4.02,2.06,0.57,19.88,1.77,24.81,81.08,5.6,73.5,22.7,84.18,0.72,60,14.69,0.07,0.62,0.24,0.67,2.2,76.09,2.54,64.15,0.43,33.33,1.44,3.11,81.54,0,0,,,
L. Díaz,Liverpool,LWF,27,2027-06-30,2916,Colombia,right,180,3.61,4.78,49.03,2.84,26.09,0.37,0,1.05,1.78,4.66,0.25,0.4,2.62,37.65,9.412,1.67,37.04,5.06,58.54,12.38,39.4,5.9,4.01,1.11,25.68,1.27,31.57,85.04,5.74,76.34,28.3,88.33,1.67,75.93,16.98,0.17,1.39,0.37,0.74,2.38,77.92,2.35,64.47,0.37,33.33,2.07,3.43,82.88,0,0,,,
D. Szoboszlai,Liverpool,"RCMF, LCMF",23,2028-06-30,2377,Hungary,right,186,7.19,7.23,56.54,1.51,42.5,0.12,0.08,3.03,4.99,2.99,0.11,0.15,2.16,26.32,5.263,2.23,33.9,2.46,63.08,5.15,47.06,2.65,2.65,0.91,39.38,1.1,52.29,86.39,11.74,75.81,47.18,89.97,2.92,67.53,16.08,0.2,1.59,0.42,0.45,4.66,77.24,3.26,54.65,0.61,37.5,1.74,6.21,73.78,0,0,,,
A. Mac Allister,Liverpool,"DMF, RCMF, LCMF",25,2028-06-30,2897,"Argentina, Italy",right,174,10.47,10.13,57.36,2.02,44.62,0.36,0.25,4.44,7.27,1.77,0.16,0.09,1.27,21.95,12.195,0.75,29.17,1.62,53.85,6.06,48.72,0.78,1.21,0.19,41.97,1.46,57.16,88.32,16.71,77.14,52.94,91.26,3.48,56.25,16.69,0.09,0.96,0.78,0.43,9.04,81.79,2.33,53.33,1.62,36.54,1.21,7.92,82.35,0,0,,,
D. Núñez,Liverpool,CF,25,2028-06-30,2323,Uruguay,right,186,3.02,3.37,52.87,4.34,31.25,0.14,0.23,1.16,2.07,3.76,0.43,0.56,3.99,44.66,10.68,1.28,33.33,2.67,52.17,7.55,33.33,7.21,2.01,0.7,15.81,0.58,17.43,74.89,3.1,58.75,15.46,79.45,0.74,47.37,15.55,0.17,1.12,0.35,0.58,1.28,57.58,1.94,58,0.46,33.33,1.55,1.36,77.14,0,0,,,
T. Lockyer,Luton Town,"CB, RCB",29,,1298,Wales,right,185,10.47,6.59,72.63,4.65,58.21,0,0.76,5.69,5.91,0.28,0.07,0.11,0.35,20,20,0.07,0,0.42,33.33,1.87,59.26,0.83,0.35,0.14,14.28,0.62,27.94,78.41,13.1,66.67,21.36,84.42,6.52,59.57,22.7,0.02,0.14,0.07,0,5.13,64.86,0.55,37.5,0.49,42.86,0.14,6.93,63,0,0,,,
M. Nakamba,Luton Town,"RCMF, LCMF, DMF",30,2026-06-30,1249,Zimbabwe,left,178,8.57,8.07,49.11,1.37,21.05,0.6,0.36,4.04,4.19,0.5,0,0.02,0.36,0,0,0.22,66.67,0.58,62.5,2.38,51.52,0.29,0.07,0,14.63,0.65,29.04,86.6,9.44,72.52,26.45,89.65,2.38,54.55,16.67,0.03,0.36,0,0.07,3.1,74.42,0.5,57.14,0.22,0,0.29,3.67,72.55,0,0,,,
R. Burke,Luton Town,"RCB, RB",28,,1856,England,right,188,9.5,6.64,62.04,4.56,57.45,0.95,0.63,4.61,5.67,0.73,0,0.1,0.48,30,0,0.68,35.71,0.58,50,1.94,35,0.63,0.58,0.19,20.22,0.58,31.76,81.37,15.91,73.78,26.48,88.46,4.7,48.45,20.95,0.01,0.29,0.05,0.1,5.48,62.83,0.87,50,0.29,50,0.19,6.59,70.59,0,0,,,
D. Hashioka,Luton Town,"RCB, LCB, RWB",25,,659,Japan,right,184,8.19,6.97,52.94,4.23,45.16,0.15,0.82,4.37,4.9,1.23,0,0.02,0.27,0,0,1.23,44.44,0.82,83.33,3,36.36,0.55,0.41,0,23.22,0.82,34.55,84.58,15.02,77.27,30.46,88.34,3,59.09,18.11,0.03,0.41,0,0.41,4.51,63.64,1.23,55.56,0.27,50,0,4.92,72.22,0,0,,,
I. Kaboré,Luton Town,"RWB, RB",23,2027-06-30,1927,Burkina Faso,right,180,8.87,8.03,54.65,2.15,54.35,0.96,0.28,3.64,4.18,3.13,0,0.01,0.23,20,0,3.41,31.51,3.18,63.24,6.02,51.16,0.7,1.63,0.84,16.39,1.4,27.46,73.98,9.25,66.67,22.46,82.33,1.73,45.95,18.32,0.06,0.47,0,0.56,1.77,63.16,2.71,39.66,0.09,0,0.14,5.23,55.36,0,0,,,
