Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
B. Brereton Díaz,Sheffield United,"CF, LW",25,2028-06-30,1231,"England, Chile",right,185,3.87,3.14,62.79,2.27,22.58,0.31,0.22,1.61,1.73,2.71,0.44,0.52,2.49,52.94,17.647,0.73,20,2.27,54.84,6.87,40.43,3.07,1.68,0.58,14.55,1.32,18.13,76.21,5.12,71.43,16.82,79.57,0.58,50,14.26,0.06,0.44,0.07,0.22,2.34,71.88,1.17,75,0,0,0.8,2.63,72.22,0,0,,,
Vini Souza,Sheffield United,"DMF, RCMF",25,2027-06-30,3019,Brazil,right,187,11.36,8.85,66.67,3.58,60.83,0.96,0.39,4.5,4.53,0.8,0.03,0.04,0.39,53.85,7.692,0.33,54.55,1.04,40,3.73,32,0.6,0.3,0.12,16.19,0.36,27.72,83.98,8.32,71.33,25.34,86.71,2.06,55.07,16.04,0.01,0.06,0,0.03,2.98,72,0.39,61.54,0.18,0,0.15,3.43,59.13,0,0,,,
T. Werner,Tottenham Hotspur,"LAMF, LW",28,2026-06-30,888,Germany,right,180,3.95,2.84,57.14,0.51,20,0.2,0,2.23,4.37,8.51,0.2,0.37,2.84,25,7.143,4.76,29.79,7.7,78.95,9.53,68.09,6.69,4.76,0.81,28.48,0.51,34.66,77.49,6.49,60.94,29.49,85.57,0.71,42.86,15.57,0.32,1.32,0.71,0.71,0.71,57.14,4.26,52.38,0.61,50,1.52,4.26,78.57,0,0,,,
B. Davies,Tottenham Hotspur,"LCB, LB",31,2025-06-30,1271,Wales,left,181,8.14,4.82,67.65,4.39,56.45,0.69,0.78,4.46,7.27,0.64,0.07,0.15,0.85,16.67,8.333,0.85,25,0.64,44.44,2.27,56.25,1.49,2.05,0.99,39.02,1.27,52.26,90.92,21.53,86.18,48.15,94.26,3.33,59.57,17.44,0.02,0.21,0.07,0.14,6.73,84.21,0.99,35.71,0.42,16.67,0.35,7.22,73.53,0,0,,,
M. van de Ven,Tottenham Hotspur,LCB,23,2029-06-30,2630,Netherlands,left,193,6.71,4.31,62.7,2.77,46.91,0.83,0.44,3.52,6.13,0.96,0.1,0.04,0.24,42.86,42.857,0.1,0,0.96,85.71,2.81,51.22,0.34,0.68,0.41,42.67,0.55,55.88,94.49,20.19,89.32,54.55,95.86,1.23,41.67,18.77,0,0,0.07,0,5.48,88.13,0.24,28.57,0.14,50,0.07,5.85,76.02,0,0,,,
P. Sarr,Tottenham Hotspur,"RDMF, RCMF",22,2030-06-30,2273,Senegal,right,184,5.03,4.2,51.89,2.53,45.31,0.2,0.12,2.73,4.61,1.86,0.12,0.15,1.27,40.63,9.375,1.03,23.08,1.5,52.63,4.71,42.86,1.43,1.39,1.03,39.56,0.67,51.28,87.95,12.08,83.61,49.06,89.99,1.23,61.29,15.21,0.07,0.67,0.59,0.28,5.27,84.96,1.94,55.1,0.48,41.67,0.75,5.86,71.62,0,0,,,
D. Udogie,Tottenham Hotspur,LB,21,2030-06-30,2701,"Italy, Nigeria",left,186,9.16,7.46,59.38,1.93,41.38,0.46,0.17,4.47,7.67,1.83,0.07,0.07,0.3,55.56,22.222,1,10,2.3,66.67,7.9,43.04,2.13,2.13,1.13,26.46,1.17,38.95,87.17,13.3,82.71,37.49,89.69,0.57,47.06,14.6,0.07,0.57,0.07,0.2,4.47,88.81,1.1,63.64,0.07,0,1.07,4.2,69.05,0,0,,,
Pedro Porro,Tottenham Hotspur,RB,25,2028-06-30,3505,Spain,right,173,10.4,7.86,55.23,1,43.59,0.38,0.46,5.83,9.56,2.23,0.08,0.11,1.31,25.49,5.882,3.06,19.33,2.08,55.56,4.19,45.4,1.64,0.92,0.28,37.1,0.67,47.84,78.26,16.23,68.04,40.26,85.97,4.6,49.72,17.19,0.14,1.08,0.56,0.33,5.6,62.84,3.57,38.85,1.54,31.67,0.69,7.91,66.23,0,0,,,
B. Johnson,Tottenham Hotspur,"RAMF, RWF, LAMF",23,2028-06-30,2571,"England, Wales",right,179,4.52,4.31,52.85,1.12,31.25,0.33,0.07,2.03,3.17,4.52,0.18,0.33,1.75,40,10,3.57,28.43,4.13,62.71,7.18,54.15,5.46,2.31,0.6,22.05,1.16,26.5,74.24,5.22,61.74,22.23,82.99,1.05,30,16.77,0.2,1.3,0.28,1.02,1.75,58,3.08,55.68,0.25,57.14,1.65,4.27,72.13,0,0,,,
Son Heung-Min,Tottenham Hotspur,"CF, LAMF",32,2025-06-30,3259,Korea Republic,right,183,1.63,1.93,54.29,0.61,13.64,0.05,0.06,0.55,0.93,3.7,0.47,0.36,2.32,47.62,20.238,1.22,34.09,3.29,54.62,7.65,41.52,5.16,2.43,0.83,23.28,1.08,27.97,84.01,5.99,75.12,26.12,86.36,0.72,80.77,14.36,0.31,1.71,0.86,1.16,1.6,77.59,2.6,74.47,0.8,48.28,2.9,3.48,84.92,0,0,,,
P. Højbjerg,Tottenham Hotspur,"LDMF, RDMF, DMF",29,2025-06-30,1609,"Denmark, France",right,187,10.4,6.1,62.39,1.12,40,1.74,0.34,5.54,9.05,1.45,0,0.03,1.06,31.58,0,0.89,6.25,1.4,60,5.09,45.05,0.67,0.67,0.28,58.62,0.89,73.72,88.32,27.3,80.94,67.23,91.01,5.65,68.32,17.39,0.05,0.22,0.45,0.28,11.35,85.22,2.01,47.22,0.73,61.54,0.89,10.91,77.44,0,0,,,
J. Maddison,Tottenham Hotspur,AMF,27,2028-06-30,2302,England,right,175,4.18,4.11,57.14,0.47,25,0.42,0.12,1.6,2.89,4.81,0.16,0.24,2.19,35.71,7.143,2.07,26.42,4.57,59.83,10.17,51.92,3.48,1.72,0.39,45.2,2.85,50.94,85.88,15.29,77.75,46.09,90.84,2.85,49.32,17,0.26,2.35,1.49,0.7,7.43,76.32,4.22,55.56,1.72,36.36,2.58,7.55,89.64,0,0,,,
G. Vicario,Tottenham Hotspur,GK,27,2028-06-30,3902,Italy,right,194,1.43,0.02,0,0.69,86.67,0,0,1.43,2.42,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,19.84,0.18,27.01,91.46,11.49,82.73,22.4,98.15,4.61,59,22.84,0,0,0,0,0.81,22.86,0.09,0,0.14,16.67,0,3.32,51.39,64.33,1.44,1.55,0.036,1.5
G. Lo Celso,Tottenham Hotspur,"AMF, LCMF, RCMF",28,2028-06-30,655,"Argentina, Italy",left,177,7.28,7.01,62.75,0.69,20,1.38,0.14,2.06,3.46,3.98,0.27,0.11,1.65,50,16.667,1.37,60,2.61,68.42,9.07,59.09,2.47,2.75,1.37,50.43,3.44,62.93,89.74,18,80.92,58.81,91.36,2.89,66.67,16.28,0.27,2.34,1.1,0.96,6.87,74,3.44,60,1.37,40,1.65,9.07,81.82,0,0,,,
R. Bentancur,Tottenham Hotspur,"LDMF, DMF, RDMF",27,2026-06-30,1146,Uruguay,right,187,7.7,6.28,61.25,3.46,31.82,0.28,0.31,3.69,6.68,1.81,0.08,0.14,1.26,31.25,6.25,0.79,10,2.2,53.57,7.93,34.65,1.73,1.1,0.31,46.49,1.34,59.92,85.58,16.18,73.3,57.33,87.53,1.81,56.52,15.92,0.05,0.55,0.55,0.39,6.91,77.27,2.28,58.62,0.86,36.36,1.26,6.68,71.76,0,0,,,
Richarlison,Tottenham Hotspur,"CF, LAMF",27,2027-06-30,1714,Brazil,right,184,3.68,2.89,47.27,5.46,30.77,0.18,0.16,2.21,3.8,2.99,0.58,0.5,2.94,42.86,19.643,1,10.53,2.78,52.83,10.92,32.21,4.46,1.05,0.21,12.81,1.58,19.11,74.18,4.78,65.93,17.75,78.11,0.37,57.14,15.47,0.09,0.58,0.53,0.32,1.89,66.67,1.68,59.38,0.42,50,1.16,3.1,71.19,0,0,,,
Y. Bissouma,Tottenham Hotspur,"LDMF, DMF, RDMF",28,2026-06-30,2276,"Côte d'Ivoire, Mali",right,182,9.33,6.64,61.31,1.46,51.35,1.21,0.24,4.55,7.74,1.78,0,0.05,0.79,20,0,0.12,66.67,2.45,56.45,7.28,48.37,0.63,1.46,0.63,52,1.27,67.54,92.74,18.39,83.66,65.17,93.93,2.25,59.65,15.6,0.02,0.36,0.43,0.12,7.63,84.97,1.19,50,0.47,16.67,0.4,5.65,80.42,0,0,,,
C. Romero,Tottenham Hotspur,RCB,26,2027-06-30,3150,Argentina,right,185,8.89,4.97,65.52,4.54,65.41,0.6,0.63,5.29,9.3,0.63,0.14,0.09,0.54,47.37,26.316,0.09,0,0.43,60,2.23,38.46,0.77,1.2,0.14,50.37,0.63,67,93.13,26.74,88.68,64.09,94.52,2.83,64.65,18.16,0.02,0.17,0.23,0.09,6.89,84.23,0.66,65.22,0.51,50,0.37,8.37,77.13,0,0,,,
O. Skipp,Tottenham Hotspur,"RDMF, RCMF, LB",24,2029-06-30,882,England,right,175,8.16,6.63,67.69,1.43,28.57,0.72,0.1,3.27,5.78,1.12,0,0.06,0.41,25,0,0.2,50,1.02,80,3.57,48.57,1.12,0.71,0.51,27.24,1.12,36.33,90.73,7.86,90.91,34.39,92.28,1.73,64.71,15.39,0.05,0.41,0.1,0.2,4.49,88.64,0.41,50,0.1,100,0.2,3.67,83.33,0,0,,,
D. Kulusevski,Tottenham Hotspur,"RAMF, AMF",24,2028-06-30,3126,"Sweden, North Macedonia",left,186,5.73,7.14,54.44,0.69,25,0.2,0.03,1.73,2.97,5.64,0.23,0.17,1.64,42.11,14.035,3.14,40.37,6.25,55.76,13.21,39.43,5.24,3.28,1.18,25.85,0.83,34.32,79.28,7.66,67.67,30.4,83.81,0.78,59.26,15.51,0.17,1.55,0.83,1.09,2.16,68,4.06,59.57,0.89,25.81,2.16,5.04,80,0,0,,,
Emerson Royal,Tottenham Hotspur,"LB, RCB, RB",25,2028-06-30,1388,"Brazil, Spain",right,183,10.05,7.33,53.1,2.66,39.02,1.06,0.78,5.51,9.01,1.75,0.06,0.01,0.32,60,20,1.23,21.05,1.88,62.07,6.94,51.4,0.78,0.78,0.32,43.25,2.4,57.45,90.74,16.02,86.23,54.79,93.37,1.43,50,15.01,0.05,0.26,0.26,0.13,3.89,90,1.04,56.25,0.32,40,0.52,4.67,56.94,0,0,,,
M. Kudus,West Ham United,"RAMF, LAMF, RW",24,2028-06-30,2802,Ghana,left,177,5.24,5.52,63.37,1.86,22.41,0.11,0,1.64,1.85,6.68,0.26,0.15,1.93,28.33,13.333,3.47,31.48,9.64,51.33,22.1,39.68,2.73,2.99,1.41,16.64,2.38,26.88,80.05,3.85,65.83,22.19,89,1.32,51.22,18.76,0.14,0.9,0.1,0.55,1.16,66.67,2.47,45.45,0.13,50,0.45,2.57,73.75,0,0,,,
K. Mavropanos,West Ham United,RCB,26,2028-06-30,1701,Greece,right,194,8.94,4.39,65.06,4.6,60.92,0.11,0.69,5.98,6.37,0.37,0.05,0.08,0.58,27.27,9.091,0.05,0,0.16,100,0.9,64.71,0.79,0.9,0.21,17.99,0.53,30.58,82.87,13.39,71.15,25.4,89.38,5.13,51.55,21.39,0,0.05,0.05,0.05,3.54,62.69,0.42,25,0.37,42.86,0.21,5.45,65.05,0,0,,,
Ł. Fabiański,West Ham United,GK,39,2025-06-30,823,Poland,right,190,1.64,0.22,50,0.33,66.67,0.12,0,1.42,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,15.2,80.58,9.73,73.03,7.11,93.85,8.09,68.92,33.24,0,0,0,0,1.42,61.54,0,0,0,0,0,5.69,76.92,61.82,2.15,-1.36,-0.149,1.64
A. Ogbonna,West Ham United,LCB,36,2025-06-30,715,"Italy, Nigeria",left,191,9.19,4.66,81.08,2.64,42.86,0,1.38,5.41,5.12,0.13,0,0,0.13,0,0,0,0,0.13,100,0.5,75,0.5,0,0,15.36,0.38,23.54,85.56,8.06,75,20.27,89.44,3.27,61.54,16.14,0,0,0,0,1.26,70,0.38,66.67,0.13,100,0.25,4.28,55.88,0,0,,,
M. Antonio,West Ham United,CF,34,2025-06-30,1859,"England, Jamaica",right,180,3.34,3.05,53.97,4.7,35.05,0.42,0.19,1.31,1.42,3.49,0.29,0.25,1.4,48.28,20.69,1.55,15.63,4.5,54.84,14.28,33.9,2.47,1.69,0.53,7.6,1.36,12.54,65.64,2.37,59.18,10.36,73.36,0.68,57.14,16.79,0.09,0.34,0.24,0.24,1.36,64.29,1.31,33.33,0.29,33.33,0.39,1.4,72.41,0,0,,,
A. Aréola,West Ham United,GK,31,2027-06-30,3031,"France, Philippines",right,195,1.4,0.12,25,0.45,93.33,0,0,1.37,1.48,0.03,0,0,0,0,0,0,0,0.03,100,0.06,100,0,0,0,9.09,0.09,13.9,82.91,7.45,72.51,8.02,95.56,5.82,66.33,34.07,0,0,0,0,0.95,37.5,0.03,0,0,0,0,4.78,70.19,72.96,1.76,6.36,0.189,1.37
V. Coufal,West Ham United,RB,32,2025-06-30,3487,Czech Republic,right,174,9.65,6.79,54.37,2.14,57.83,0.31,0.34,5.68,6.11,2.04,0,0.02,0.18,28.57,0,2.97,38.26,1.32,60.78,3.07,40.34,0.65,1.52,0.77,22.12,0.65,33.73,73.91,16.52,68.59,26.33,84.9,4.62,32.96,19.12,0.12,1.01,0.1,0.52,4.75,55.43,2.97,46.09,0.39,33.33,0.39,7.64,65.88,0,0,,,
K. Zouma,West Ham United,"RCB, LCB",30,2025-06-30,3207,"France, Central African Republic",right,190,6.54,2.69,53.13,3.76,52.99,0.22,0.73,4.91,5.39,0.28,0.08,0.03,0.28,70,30,0,0,0.14,60,0.76,33.33,0.39,0.42,0.17,20.12,0.17,29.66,88.84,11.23,76.5,25.71,93.34,3.96,59.57,21.35,0,0,0,0.03,2.89,64.08,0.11,25,0.11,0,0,4.13,64.63,0,0,,,
Emerson Palmieri,West Ham United,LB,30,2026-06-30,3506,"Brazil, Italy",left,176,9.04,6.57,63.67,1.59,51.61,0.33,0.33,4.54,4.85,1.64,0.03,0.04,0.46,22.22,5.556,1.26,34.69,2,53.85,3.88,47.68,0.87,1.75,0.74,27.47,0.82,36.94,83.88,14.76,75.83,32.52,88.48,3.26,55.91,15.77,0.04,0.44,0.15,0.15,3.75,78.77,1.13,52.27,0.21,12.5,0.36,6.03,64.68,0,0,,,
J. Ward-Prowse,West Ham United,"AMF, LCMF, LDMF",30,2027-06-30,3365,England,right,177,6.69,4.76,65.17,1.44,40.74,0.09,0.19,3.5,3.79,1.26,0.19,0.17,1.18,40.91,15.909,0.99,40.54,0.48,66.67,1.85,44.93,0.75,0.37,0.16,27.15,0.53,38.17,89.91,10.89,83.54,35.38,92.97,1.82,57.35,16.16,0.23,1.5,0.11,0.24,5.14,81.77,1.42,49.06,0.27,30,0.27,4.55,76.47,0,0,,,
S. Benrahma,West Ham United,"LAMF, LW",29,2027-06-30,711,"Algeria, France",right,172,5.82,4.05,62.5,0.76,16.67,0.13,0,3.16,3.32,4.56,0,0.22,2.28,33.33,0,3.16,28,5.57,50,10.76,38.82,4.68,3.8,1.65,24.05,0.76,32.53,79.38,5.82,67.39,28.48,85.78,1.01,62.5,15.12,0.18,1.52,0.63,0.63,1.9,46.67,3.29,42.31,0.76,33.33,1.77,4.43,65.71,0,0,,,
T. Souček,West Ham United,"RDMF, RCMF, AMF",29,2027-06-30,3215,Czech Republic,right,192,8.65,5.12,54.1,6.24,50.67,0.56,0.67,5.35,5.61,0.62,0.2,0.21,1.12,32.5,17.5,0.17,33.33,0.28,40,1.99,29.58,1.43,0.17,0,15.12,0.59,25.08,81.92,8.59,69.71,22.45,85.91,2.46,48.86,17.2,0.01,0.28,0.14,0.11,3.42,65.57,0.42,60,0.17,33.33,0.28,3.72,57.14,0,0,,,
J. Bowen,West Ham United,"CF, RAMF, RW",27,2030-06-30,3382,"England, Wales",left,175,4.98,4.2,59.49,3.01,26.55,0.43,0.21,2.08,2.23,3.51,0.43,0.36,2.13,46.25,20,1.73,18.46,4.15,50,10.3,37.73,4.39,2.13,1.01,12.77,1.14,17.06,74.88,3.46,71.54,14.77,82.52,0.61,47.83,17.17,0.15,0.75,0.27,0.37,1.25,70.21,0.9,50,0.24,33.33,0.77,1.7,71.88,0,0,,,
N. Aguerd,West Ham United,LCB,28,2027-06-30,2069,Morocco,left,190,8.35,4.87,64.29,4.26,47.96,0.35,0.96,4.92,5.58,0.43,0.04,0.05,0.39,33.33,11.111,0.3,0,0.35,87.5,1.09,52,0.61,0.65,0.17,32.75,0.26,45.54,85.86,20.53,75.21,35.23,94.69,10,57.39,23.76,0.02,0.13,0,0.04,7.13,60.37,0.48,27.27,0.22,60,0.09,9,79.23,0,0,,,
Lucas Paquetà,West Ham United,"LAMF, AMF, LW",27,2027-06-30,2882,"Brazil, Portugal",left,180,7.49,7.12,62.72,3.87,41.13,0.24,0.06,2.81,3.06,3.09,0.12,0.16,1.22,25.64,10.256,1.5,41.67,2.87,55.43,12.93,35.75,1.62,0.87,0.28,27.95,1.94,41.94,78.56,16.21,69.17,35.63,83.17,4.87,55.77,17.08,0.14,1.16,1.31,0.81,7.31,69.23,3.47,52.25,2.28,39.73,1.62,7.87,78.97,0,0,,,
B. Johnson,West Ham United,"RB, RAMF, LAMF",24,2028-06-30,659,England,right,175,8.74,6.97,70.59,3.28,41.67,0.16,0.14,3.69,4.24,3,0,0.03,0.68,40,0,4.23,12.9,4.1,53.33,7.92,43.1,0.55,1.91,0.68,24.45,0.96,39.47,74.39,14.07,68.93,32.09,84.68,3.41,52,20.74,0,0.14,0.41,0,3.96,62.07,3.41,16,0.27,50,0,6.42,53.19,0,0,,,
E. Álvarez,West Ham United,"LDMF, RDMF, RCMF",27,2028-06-30,2642,Mexico,right,187,12.84,8.35,60.82,2.9,42.35,1.47,0.72,6.44,7.11,0.89,0.03,0.05,0.55,25,6.25,0.14,25,1.33,53.85,4.6,37.78,0.44,0.85,0.37,26.03,0.55,38.97,87.94,11.82,76.37,35.77,90.76,3.07,57.78,17.87,0.02,0.24,0.03,0.1,4.6,74.07,0.48,28.57,0.44,46.15,0.17,4.46,60.31,0,0,,,
Hugo Bueno,Wolverhampton Wanderers,"LWB, LB",22,2028-06-30,915,Spain,left,180,9.34,8.16,60.24,1.87,47.37,0.13,0.39,4.33,5.55,4.03,0,0.05,0.49,0,0,3.15,50,3.64,67.57,6.89,52.86,1.18,2.07,0.49,24.69,0.69,34.82,82.77,9.05,69.57,30.49,87.74,1.28,46.15,16.02,0.03,0.3,0,0.3,1.18,91.67,2.07,57.14,0.2,0,0.1,5.21,52.83,0,0,,,
M. Lemina,Wolverhampton Wanderers,"RCMF, LCMF, DMF",31,2025-06-30,3335,"Gabon, France",right,184,8.99,6.48,64.58,2.37,42.05,0.78,0.27,4.18,5.26,1.59,0.11,0.1,1.08,42.5,10,0.4,40,1.32,61.22,4.48,49.4,1.05,0.89,0.43,26.61,0.67,38.19,87.49,9.93,71.47,35.27,90.74,2.56,49.47,17.43,0.04,0.38,0.46,0.11,4.02,68.46,0.97,33.33,0.62,30.43,0.32,3.81,64.54,0,0,,,
Nélson Semedo,Wolverhampton Wanderers,"RWB, RB",30,2025-06-30,3461,"Portugal, Cape Verde Islands",right,177,8.87,7.83,58.8,1.79,36.23,0.13,0.18,4.16,5.18,2.5,0,0.02,0.42,25,0,2.26,26.44,2.96,56.14,6.53,44.62,1.14,2.24,1.2,29.15,0.73,40.23,81.51,13.99,71.75,34.01,89.14,4.16,48.13,17.77,0.04,0.52,0.23,0.26,3.85,75.68,1.85,43.66,0.18,42.86,0.47,7.05,58.67,0,0,,,
J. Bellegarde,Wolverhampton Wanderers,"CF, AMF, RW",26,2028-06-30,1090,"France, Haiti",right,172,7.35,5.61,67.65,2.89,31.43,0.2,0.17,3.39,4.01,4.05,0.17,0.1,1.07,38.46,15.385,1.98,16.67,4.95,61.67,12.88,39.74,2.31,2.81,1.24,16.68,1.82,24.36,82.71,6.28,68.42,21.3,90.31,1.16,50,16.48,0.09,0.91,0.58,0.5,1.82,72.73,2.15,42.31,0.5,16.67,1.32,2.72,75.76,0,0,,,
João Gomes,Wolverhampton Wanderers,"RCMF, LCMF",23,2028-06-30,2939,Brazil,right,176,11.76,11.18,62.74,1.68,34.55,1.53,0.24,3.52,4.41,2.02,0.06,0.07,0.77,32,8,0.34,54.55,1.99,61.54,7.26,42.19,1.01,0.89,0.24,23.4,1.19,36.44,84.37,10.5,66.76,33.87,87.07,2.24,47.95,15.7,0.03,0.49,0.64,0.12,3.98,65.38,1.38,55.56,0.64,42.86,0.77,4.1,58.21,0,0,,,
Toti,Wolverhampton Wanderers,"LCB, LB",25,2029-06-30,3134,"Guinea-Bissau, Portugal",left,187,7.5,5.17,58.89,2.81,64.29,0.18,0.43,4.31,5.34,0.95,0.03,0.03,0.23,50,12.5,0.46,25,0.98,64.71,2.9,48.51,0.55,0.57,0.11,34.23,0.4,46.44,87.14,19.7,77.26,41.7,91.8,4.28,48.32,17.5,0.04,0.17,0.14,0.11,4.39,72.55,0.63,40.91,0.4,50,0.17,7.15,59.04,0,0,,,
B. Traoré,Wolverhampton Wanderers,"LCMF, RCMF",23,2027-06-30,1023,Mali,right,183,9.33,9.94,59.29,2.73,38.71,0.6,0.18,2.99,4.08,1.41,0,0.04,0.97,9.09,0,0.88,50,1.41,62.5,5.1,39.66,0.44,0.97,0.62,26.04,0.35,37.83,86.51,8.71,72.73,35.01,89.45,1.94,50,16.54,0.01,0.18,0,0.18,3.52,75,1.06,58.33,0.09,0,0.26,4.13,51.06,0,0,,,
R. Aït-Nouri,Wolverhampton Wanderers,"LWB, LB, LW",23,2026-06-30,2555,"France, Algeria",left,180,8.45,7.05,62,1.94,36.36,1.03,0.11,3.28,4.15,3.31,0.07,0.11,0.77,31.82,9.091,1.62,26.09,4.44,57.14,10.74,39.02,1.66,2.22,1.09,26.52,1.83,35.93,86.67,10.36,81.97,32.79,91.19,1.69,50,15.75,0.05,0.56,0.46,0.42,3.21,82.42,1.66,40.43,0.39,18.18,0.6,4.72,70.15,0,0,,,
C. Dawson,Wolverhampton Wanderers,"CB, RCB",34,2025-06-30,2498,England,right,188,8.21,4.68,63.08,4.58,58.27,0.5,1.19,4.86,6.17,0.4,0.04,0.06,0.5,35.71,7.143,0.11,0,0.22,100,0.94,73.08,1.01,0.14,0.04,30.19,0.54,42.48,89.4,13.08,74.66,37.15,93.4,5.22,62.76,22.83,0.03,0.25,0.04,0.14,4.25,64.41,0.29,12.5,0.14,0,0.18,5.73,67.3,0,0,,,
Pablo Sarabia,Wolverhampton Wanderers,"AMF, RWF, CF",32,2025-06-30,1940,Spain,left,174,4.5,4.82,45.19,1.53,12.12,0.43,0,1.99,2.67,3.11,0.19,0.26,2.04,38.64,9.091,2.23,33.33,2.13,56.52,6.08,37.4,2.51,1.25,0.56,30.15,1.11,39.11,76.75,11.55,67.47,33.17,81.82,3.76,56.79,16.42,0.27,2.37,0.93,0.6,5.15,62.16,4.31,49.46,1.62,45.71,1.58,6.91,71.81,0,0,,,
M. Doherty,Wolverhampton Wanderers,"LWB, RWB",32,2026-06-30,1378,Republic of Ireland,right,185,9.73,6.86,62.86,5.55,54.12,0.25,0.33,5.22,6.72,1.18,0.07,0.06,0.52,25,12.5,1.18,33.33,1.5,43.48,3.92,38.33,1.63,0.65,0,26.12,0.72,35.53,83.64,9.14,70,31.94,86.09,2.42,75.68,14.5,0.06,0.46,0,0.33,2.87,70.45,1.31,55,0.26,100,0.72,5.36,65.85,0,0,,,
José Sá,Wolverhampton Wanderers,GK,31,2027-06-30,3452,Portugal,right,192,1.93,0.05,50,0.47,100,0,0,1.9,2.37,0.1,0,0,0,0,0,0.03,0,0.16,66.67,0.23,66.67,0,0,0,11.37,0.21,17.6,81.93,9.39,68.33,11.13,97.66,6.41,55.28,31.66,0,0,0,0.03,1.56,30,0.21,0,0.1,0,0,4.15,71.07,71.29,1.83,12.08,0.315,1.64
Hwang Hee-Chan,Wolverhampton Wanderers,CF,28,2028-06-30,2386,Korea Republic,right,177,3.81,3.39,57.78,2.3,16.39,0.24,0.04,1.66,2.13,2.34,0.45,0.36,1.51,45,30,1.02,25.93,2.9,45.45,8.45,32.14,3.21,1.21,0.6,14.22,1.21,19.61,78.85,3.7,65.31,18.07,82.25,0.57,60,15.79,0.08,0.57,0.15,0.34,1.13,73.33,0.87,56.52,0.15,50,0.72,1.77,57.45,0,0,,,
S. Bueno,Wolverhampton Wanderers,"RCB, CB",25,2028-06-30,947,Uruguay,right,192,9.31,7.03,58.11,3.71,38.46,0.11,0.95,5.13,6.11,0.1,0,0,0,0,0,0.19,0,0.1,100,0.86,77.78,0.29,0.86,0.48,32.03,0.48,42.67,89.09,13.69,75,39.92,91.9,2.57,51.85,19.94,0,0,0.1,0,2.66,75,0.29,0,0.57,50,0.1,4.28,55.56,0,0,,,
M. Kilman,Wolverhampton Wanderers,"RCB, CB, LCB",27,2031-06-30,3891,"England, Ukraine",left,194,8.91,4.72,66.67,3.24,64.29,0.17,0.69,5.62,7.06,0.62,0.05,0.06,0.32,57.14,14.286,0.14,33.33,0.46,70,1.36,52.54,0.53,0.62,0.21,36.71,0.44,50.05,88.77,18.6,77.36,43.14,94.48,6.78,53.58,21.19,0.02,0.23,0.12,0.09,5.07,64.84,0.62,44.44,0.72,29.03,0.25,6.66,64.58,0,0,,,
Pedro Neto,Wolverhampton Wanderers,"RW, CF, LW",24,2031-06-30,1704,Portugal,left,172,2.48,2.64,52,1.16,13.64,0.07,0.11,1.06,1.31,5.97,0.11,0.2,1.9,36.11,5.556,4.49,34.12,7.29,50,13.68,42.47,3.96,4.7,2.43,26.3,1.11,33.17,79.3,5.49,75,27.25,88.57,1.64,48.39,16.33,0.24,1.69,0.37,0.74,1.74,75.76,4.44,44.05,0.63,16.67,1.37,4.28,76.54,0,0,,,
Matheus Cunha,Wolverhampton Wanderers,"CF, AMF, LWF",25,2027-06-30,2710,Brazil,right,183,5.58,5.15,56.13,2.49,21.33,0.37,0.17,2.39,2.95,4.28,0.4,0.32,2.29,52.17,17.391,1.16,25.71,5.01,50.99,11.32,42.52,3.39,3.49,1.69,19.66,1.63,25.51,80.73,6.18,67.74,23.31,84.9,1.13,44.12,15.37,0.09,0.73,0.6,0.56,2.86,76.74,1.99,53.33,0.6,38.89,1.3,3.32,76,0,0,,,
T. Doyle,Wolverhampton Wanderers,"LCMF, RCMF, DMF",22,2028-06-30,1427,England,right,172,7.88,5.93,69.15,0.44,28.57,0.32,0.5,3.53,4.48,0.76,0,0.02,1.01,25,0,0.76,25,0.5,37.5,1.51,45.83,0.38,0.76,0.19,41.75,0.25,53.86,87.35,14.7,70.82,46.8,92.72,6.37,54.46,20.15,0.01,0.38,0.32,0,8.7,75.36,1.45,26.09,1.07,29.41,0.19,7.57,73.33,0,0,,,
